년도,역명,월,역번호,승차인원,하차인원,_source_file
2017,구암,3,1117,91219,92111,대전교통공사_역별 수송실적_20171231.csv
2017,구암,4,1117,88342,88472,대전교통공사_역별 수송실적_20171231.csv
2017,구암,5,1117,89465,89877,대전교통공사_역별 수송실적_20171231.csv
2017,구암,6,1117,86535,86423,대전교통공사_역별 수송실적_20171231.csv
2017,구암,7,1117,78428,78316,대전교통공사_역별 수송실적_20171231.csv
2017,구암,8,1117,78518,78504,대전교통공사_역별 수송실적_20171231.csv
2017,구암,9,1117,89405,89339,대전교통공사_역별 수송실적_20171231.csv
2017,구암,10,1117,78536,78688,대전교통공사_역별 수송실적_20171231.csv
2017,구암,11,1117,85336,85397,대전교통공사_역별 수송실적_20171231.csv
2017,구암,12,1117,82488,81132,대전교통공사_역별 수송실적_20171231.csv
2018,구암,1,1117,76111,75151,대전교통공사_역별 수송실적_20181231.csv
2018,구암,2,1117,68338,68286,대전교통공사_역별 수송실적_20181231.csv
2018,구암,3,1117,86537,85961,대전교통공사_역별 수송실적_20181231.csv
2018,구암,4,1117,84928,84403,대전교통공사_역별 수송실적_20181231.csv
2018,구암,5,1117,87686,87359,대전교통공사_역별 수송실적_20181231.csv
2018,구암,6,1117,81566,80527,대전교통공사_역별 수송실적_20181231.csv
2018,구암,7,1117,74926,74772,대전교통공사_역별 수송실적_20181231.csv
2018,구암,8,1117,73140,72424,대전교통공사_역별 수송실적_20181231.csv
2018,구암,9,1117,77251,76470,대전교통공사_역별 수송실적_20181231.csv
2018,구암,10,1117,86506,85654,대전교통공사_역별 수송실적_20181231.csv
2018,구암,11,1117,84382,84180,대전교통공사_역별 수송실적_20181231.csv
2018,구암,12,1117,80198,79429,대전교통공사_역별 수송실적_20181231.csv
2019,구암,1,1117,81199,80358,대전교통공사_역별 수송실적_20191231.csv
2019,구암,2,1117,67419,67410,대전교통공사_역별 수송실적_20191231.csv
2019,구암,3,1117,88490,87510,대전교통공사_역별 수송실적_20191231.csv
2019,구암,4,1117,87948,86603,대전교통공사_역별 수송실적_20191231.csv
2019,구암,5,1117,90860,89702,대전교통공사_역별 수송실적_20191231.csv
2019,구암,6,1117,81926,80401,대전교통공사_역별 수송실적_20191231.csv
2019,구암,7,1117,82191,80604,대전교통공사_역별 수송실적_20191231.csv
2019,구암,8,1117,76849,75180,대전교통공사_역별 수송실적_20191231.csv
2019,구암,9,1117,77345,76105,대전교통공사_역별 수송실적_20191231.csv
2019,구암,10,1117,87089,85861,대전교통공사_역별 수송실적_20191231.csv
2019,구암,11,1117,85005,83362,대전교통공사_역별 수송실적_20191231.csv
2019,구암,12,1117,83890,82333,대전교통공사_역별 수송실적_20191231.csv
2020,구암,1,1117,73874,73272,대전교통공사_역별 수송실적_20200531.csv
2020,구암,2,1117,55986,55453,대전교통공사_역별 수송실적_20200531.csv
2020,구암,3,1117,37043,36740,대전교통공사_역별 수송실적_20200531.csv
2020,구암,4,1117,46021,45758,대전교통공사_역별 수송실적_20200531.csv
2020,구암,5,1117,56824,55828,대전교통공사_역별 수송실적_20200531.csv
2020,구암,6,1117,54949,53842,대전교통공사_역별 수송실적_20211231.csv
2020,구암,7,1117,51602,50012,대전교통공사_역별 수송실적_20211231.csv
2020,구암,8,1117,49323,48522,대전교통공사_역별 수송실적_20211231.csv
2020,구암,9,1117,51295,50144,대전교통공사_역별 수송실적_20211231.csv
2020,구암,10,1117,56274,55229,대전교통공사_역별 수송실적_20211231.csv
2020,구암,11,1117,59456,58400,대전교통공사_역별 수송실적_20211231.csv
2020,구암,12,1117,50622,48934,대전교통공사_역별 수송실적_20211231.csv
2021,구암,1,1117,49130,47453,대전교통공사_역별 수송실적_20211231.csv
2021,구암,2,1117,47503,46580,대전교통공사_역별 수송실적_20211231.csv
2021,구암,3,1117,62202,61058,대전교통공사_역별 수송실적_20211231.csv
2021,구암,4,1117,60732,59437,대전교통공사_역별 수송실적_20211231.csv
2021,구암,5,1117,58061,57946,대전교통공사_역별 수송실적_20211231.csv
2021,구암,6,1117,58646,58066,대전교통공사_역별 수송실적_20211231.csv
2021,구암,7,1117,52057,51570,대전교통공사_역별 수송실적_20211231.csv
2021,구암,8,1117,54151,52438,대전교통공사_역별 수송실적_20211231.csv
2021,구암,9,1117,66508,66122,대전교통공사_역별 수송실적_20211231.csv
2021,구암,10,1117,75249,75020,대전교통공사_역별 수송실적_20211231.csv
2021,구암,11,1117,76891,77263,대전교통공사_역별 수송실적_20211231.csv
2021,구암,12,1117,73825,73328,대전교통공사_역별 수송실적_20211231.csv
2022,구암,1,1117,70217,69921,대전교통공사_역별 수송실적_20221231.csv
2022,구암,2,1117,56789,56689,대전교통공사_역별 수송실적_20221231.csv
2022,구암,3,1117,69733,69419,대전교통공사_역별 수송실적_20221231.csv
2022,구암,4,1117,77778,77702,대전교통공사_역별 수송실적_20221231.csv
2022,구암,5,1117,86465,87158,대전교통공사_역별 수송실적_20221231.csv
2022,구암,6,1117,80620,80197,대전교통공사_역별 수송실적_20221231.csv
2022,구암,7,1117,77351,77024,대전교통공사_역별 수송실적_20221231.csv
2022,구암,8,1117,73625,73879,대전교통공사_역별 수송실적_20221231.csv
2022,구암,9,1117,79816,79441,대전교통공사_역별 수송실적_20221231.csv
2022,구암,10,1117,84472,84234,대전교통공사_역별 수송실적_20221231.csv
